,laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Memory_Type
0,1,1564.1985714285713,1548.2303571428572,13.3,1015.0152482269503,8,128,1795.569,1749.6307692307694,1.37,1339.69,1388.7893357058124
1,2,1564.1985714285713,1548.2303571428572,13.3,1015.0152482269503,8,128,969.882738654147,1749.6307692307694,1.34,898.94,527.6082666666667
2,3,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,8,256,969.882738654147,587.9733333333334,1.86,575.0,1388.7893357058124
3,4,1564.1985714285713,1548.2303571428572,15.4,1595.7791081593928,16,512,2611.806666666667,1749.6307692307694,1.83,2537.45,1388.7893357058124
4,5,1564.1985714285713,1548.2303571428572,13.3,1015.0152482269503,8,256,1795.569,1749.6307692307694,1.37,1803.6,1388.7893357058124
5,6,626.7758252427184,782.0786244841817,15.6,445.8241666666667,4,500,588.5527777777778,1168.1394776119403,2.1,400.0,655.29776
6,7,1564.1985714285713,1548.2303571428572,15.4,1595.7791081593928,16,256,2139.97,1262.87125,2.04,2139.97,527.6082666666667
7,8,1564.1985714285713,1548.2303571428572,13.3,1015.0152482269503,8,256,969.882738654147,1749.6307692307694,1.34,1158.7,527.6082666666667
8,9,1104.1693670886077,1548.2303571428572,14.0,1595.7791081593928,16,512,988.9233333333334,1168.1394776119403,1.3,1495.0,1388.7893357058124
9,10,626.7758252427184,1548.2303571428572,14.0,1015.0152482269503,8,256,1205.7682352941176,1168.1394776119403,1.6,770.0,1388.7893357058124
10,11,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,587.9733333333334,1.86,393.9,655.29776
11,12,1067.7748540145985,782.0786244841817,15.6,541.625955882353,4,500,969.882738654147,587.9733333333334,1.86,344.99,655.29776
12,13,1564.1985714285713,1548.2303571428572,15.4,1595.7791081593928,16,256,2611.806666666667,1749.6307692307694,1.83,2439.97,1388.7893357058124
13,14,1186.06898989899,782.0786244841817,15.6,541.625955882353,4,256,588.5527777777778,1168.1394776119403,2.2,498.9,1388.7893357058124
14,15,1564.1985714285713,1548.2303571428572,12.0,1324.2315789473685,8,256,969.882738654147,1749.6307692307694,0.92,1262.4,1388.7893357058124
15,16,1564.1985714285713,1548.2303571428572,13.3,1015.0152482269503,8,256,1795.569,1749.6307692307694,1.37,1518.55,1388.7893357058124
16,17,1186.06898989899,782.0786244841817,15.6,1595.7791081593928,8,256,588.5527777777778,1168.1394776119403,2.2,745.0,1388.7893357058124
17,18,1564.1985714285713,1548.2303571428572,15.4,1595.7791081593928,16,512,2611.806666666667,1749.6307692307694,1.83,2858.0,1388.7893357058124
18,19,1086.3844444444444,782.0786244841817,15.6,541.625955882353,8,1024,935.683023255814,587.9733333333334,2.2,499.0,655.29776
19,20,1186.06898989899,1548.2303571428572,13.3,1015.0152482269503,8,128,1205.7682352941176,1168.1394776119403,1.22,979.0,1388.7893357058124
20,21,1104.1693670886077,636.232,11.6,236.76,2,32,969.882738654147,1168.1394776119403,0.98,191.9,527.6082666666667
21,22,1086.3844444444444,1731.3806341463417,15.6,1015.0152482269503,8,128,1651.3279574468086,1168.1394776119403,2.5,999.0,1388.7893357058124
22,23,1067.7748540145985,782.0786244841817,15.6,303.5,4,500,300.8877777777777,587.9733333333334,1.86,258.0,655.29776
23,24,1186.06898989899,1282.401652892562,13.3,1015.0152482269503,8,256,1205.7682352941176,1168.1394776119403,1.62,819.0,1388.7893357058124
